INFO 2025-07-06 21:04:51,891 basehttp 15864 140307110815424 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
INFO 2025-07-06 21:04:51,891 basehttp 15864 140307102422720 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-07-06 21:04:51,893 basehttp 15864 140307102422720 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-07-06 21:04:51,949 basehttp 15864 140307102422720 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
INFO 2025-07-06 21:04:51,951 basehttp 15864 140307110815424 "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
INFO 2025-07-06 21:04:51,997 basehttp 15864 140307110815424 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1719
INFO 2025-07-06 21:04:51,998 basehttp 15864 140307102422720 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-07-06 21:04:52,000 basehttp 15864 140307102422720 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-07-06 21:04:52,048 basehttp 15864 140307102422720 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2025-07-06 21:04:52,049 basehttp 15864 140307110815424 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-07-06 21:05:06,037 basehttp 15864 140307102422720 "GET /admin HTTP/1.1" 301 0
INFO 2025-07-06 21:05:06,059 basehttp 15864 140307110815424 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-07-06 21:05:06,071 basehttp 15864 140307110815424 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4219
INFO 2025-07-06 21:05:06,140 basehttp 15864 140307110815424 "GET /static/admin/css/base.css HTTP/1.1" 200 21310
INFO 2025-07-06 21:05:06,149 basehttp 15864 140307077244608 "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2025-07-06 21:05:06,151 basehttp 15864 140307085637312 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
INFO 2025-07-06 21:05:06,151 basehttp 15864 140307094030016 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
INFO 2025-07-06 21:05:06,151 basehttp 15864 140307068851904 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18559
INFO 2025-07-06 21:05:06,152 basehttp 15864 140307077244608 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2025-07-06 21:05:06,154 basehttp 15864 140307094030016 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-07-06 21:05:16,162 basehttp 15864 140307094030016 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4393
INFO 2025-07-06 21:05:22,100 basehttp 15864 140307094030016 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4393
INFO 2025-07-06 21:06:43,665 autoreload 16096 139915019096192 Watching for file changes with StatReloader
INFO 2025-07-06 21:06:49,274 basehttp 16096 139914867898048 "OPTIONS /api/v1/customers/ HTTP/1.1" 200 0
WARNING 2025-07-06 21:06:49,281 log 16096 139914867898048 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 21:06:49,281 basehttp 16096 139914867898048 "GET /api/v1/customers/ HTTP/1.1" 401 193
INFO 2025-07-06 21:07:06,043 basehttp 16096 139914850064064 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-07-06 21:07:06,111 basehttp 16096 139914850064064 "GET /admin/ HTTP/1.1" 200 21021
